customer_name,city,category,product,quantity,unit_price,total_price,order_date,order_id
Rebecca Miller,Mashhad,Electronics,Smart Watch,2,250.0,500.0,2024-01-14,652
Nicholas Daniels,Rasht,Home Appliances,Vacuum Cleaner,5,300.0,1500.0,2024-01-14,8150
John Gonzalez,Shiraz,Sports,Fitness Band,4,90.0,360.0,2024-01-14,5315
Tracey Harrison,Tehran,Electronics,Tablet,1,500.0,500.0,2024-01-14,5550
Amy Gentry,Tehran,Electronics,Laptop,5,1200.0,6000.0,2024-01-14,2741
Robert Johnston,Isfahan,Books,Algorithms,3,70.0,210.0,2024-01-15,1577
Diana Wilson,Isfahan,Sports,Fitness Band,1,90.0,90.0,2024-01-15,9883
Jose Smith,Qom,Electronics,Tablet,2,500.0,1000.0,2024-01-15,1990
Brian Webb,Shiraz,Home Appliances,Refrigerator,2,1800.0,3600.0,2024-01-15,6667
Veronica Stewart,Tabriz,Electronics,Smartphone,2,800.0,1600.0,2024-01-15,6345
Joshua Dickerson,Karaj,Books,Machine Learning,3,80.0,240.0,2024-01-15,4893
Patrick Palmer,Qom,Home Appliances,Vacuum Cleaner,2,300.0,600.0,2024-01-15,3010
Colleen Spencer,Tabriz,Books,Python Programming,4,45.0,180.0,2024-01-15,6297
Henry Chan,Rasht,Sports,Basketball,5,35.0,175.0,2024-01-15,7864
Melanie Davis,Shiraz,Sports,Running Shoes,3,120.0,360.0,2024-01-15,9190
Susan Stewart,Karaj,Books,Data Science Handbook,1,60.0,60.0,2024-01-15,6429
Margaret Flynn,Isfahan,Books,Python Programming,1,45.0,45.0,2024-01-15,7576
Lisa Martin,Karaj,Electronics,Smart Watch,1,250.0,250.0,2024-01-15,1805
Daniel Rodriguez,Mashhad,Home Appliances,Air Conditioner,1,2000.0,2000.0,2024-01-15,5733
Brenda Davis,Qom,Books,Python Programming,3,45.0,135.0,2024-01-16,8663
Maria Chan,Tehran,Books,Clean Code,3,55.0,165.0,2024-01-16,5977
Abigail Stewart,Tabriz,Electronics,Smart Watch,3,250.0,750.0,2024-01-16,2548
Jeffrey Anderson,Kermanshah,Home Appliances,Refrigerator,2,1800.0,3600.0,2024-01-16,3415
Cristina Irwin,Tabriz,Sports,Basketball,3,35.0,105.0,2024-01-16,4112
Adam Hendricks,Ahvaz,Home Appliances,Vacuum Cleaner,3,300.0,900.0,2024-01-16,9805
John Thompson,Karaj,Home Appliances,Air Conditioner,4,2000.0,8000.0,2024-01-16,9137
Alicia Richardson,Karaj,Home Appliances,Refrigerator,4,1800.0,7200.0,2024-01-16,5718
Donald Franklin,Qom,Home Appliances,Air Conditioner,2,2000.0,4000.0,2024-01-16,62
David Hunter,Mashhad,Sports,Fitness Band,3,90.0,270.0,2024-01-16,4260
Johnny Garcia,Mashhad,Home Appliances,Vacuum Cleaner,5,300.0,1500.0,2024-01-16,2046
Bobby Andrews,Mashhad,Electronics,Headphones,4,150.0,600.0,2024-01-16,2149
John Owens,Mashhad,Books,Python Programming,3,45.0,135.0,2024-01-16,6632
Kimberly Bowman,Isfahan,Home Appliances,Microwave,3,220.0,660.0,2024-01-16,4818
Kari Thomas,Karaj,Sports,Running Shoes,5,120.0,600.0,2024-01-16,7468
Andrea Stuart,Mashhad,Books,Python Programming,3,45.0,135.0,2024-01-16,3813
Zachary Caldwell,Kermanshah,Electronics,Smartphone,5,800.0,4000.0,2024-01-16,7556
Jennifer Odonnell,Tabriz,Books,Algorithms,2,70.0,140.0,2024-01-16,9529
Olivia Patton,Tehran,Home Appliances,Refrigerator,1,1800.0,1800.0,2024-01-16,3245
Steve Patton,Shiraz,Electronics,Laptop,5,1200.0,6000.0,2024-01-17,3022
Luis Ramirez,Isfahan,Sports,Football,4,30.0,120.0,2024-01-17,7654
James Wells,Shiraz,Books,Algorithms,3,70.0,210.0,2024-01-17,6589
Nancy Meyer,Qom,Books,Algorithms,5,70.0,350.0,2024-01-17,5872
Willie Bolton,Rasht,Electronics,Smart Watch,5,250.0,1250.0,2024-01-17,5986
Megan Miller,Shiraz,Sports,Football,2,30.0,60.0,2024-01-17,1055
Crystal Lowe,Ahvaz,Home Appliances,Vacuum Cleaner,5,300.0,1500.0,2024-01-17,9882
Brandon Schmitt,Karaj,Home Appliances,Vacuum Cleaner,2,300.0,600.0,2024-01-17,2859
Sheri Rodriguez,Qom,Home Appliances,Microwave,1,220.0,220.0,2024-01-17,975
Anthony Shelton,Karaj,Books,Machine Learning,4,80.0,320.0,2024-01-17,4048
Michael Thompson,Tehran,Sports,Tennis Racket,1,180.0,180.0,2024-01-17,7457
Tommy Chen,Tehran,Sports,Tennis Racket,5,180.0,900.0,2024-01-17,1366
Alan Armstrong,Mashhad,Home Appliances,Air Conditioner,3,2000.0,6000.0,2024-01-17,3273
Patty Hill,Tabriz,Sports,Fitness Band,3,90.0,270.0,2024-01-17,9962
Bryan Monroe,Ahvaz,Electronics,Headphones,5,150.0,750.0,2024-01-17,5013
Kimberly Maynard,Ahvaz,Electronics,Tablet,2,500.0,1000.0,2024-01-17,7325
Theresa White,Shiraz,Sports,Basketball,5,35.0,175.0,2024-01-17,6984
Edward Walker,Shiraz,Books,Machine Learning,1,80.0,80.0,2024-01-18,5162
Paul Mendoza,Tehran,Books,Python Programming,1,45.0,45.0,2024-01-18,1036
Tony Hensley,Shiraz,Sports,Basketball,2,35.0,70.0,2024-01-18,4297
Johnny Sanchez,Tehran,Books,Data Science Handbook,4,60.0,240.0,2024-01-18,2594
Kyle Flores,Shiraz,Books,Clean Code,5,55.0,275.0,2024-01-18,4178
Leon Hawkins,Rasht,Electronics,Laptop,2,1200.0,2400.0,2024-01-18,7726
Victoria Smith,Qom,Sports,Football,3,30.0,90.0,2024-01-18,5379
Sabrina Brown,Rasht,Home Appliances,Air Conditioner,4,2000.0,8000.0,2024-01-18,1933
Devin Daniels,Ahvaz,Home Appliances,Washing Machine,5,1500.0,7500.0,2024-01-18,7839
John Henry,Isfahan,Sports,Basketball,5,35.0,175.0,2024-01-18,516
Ronnie Jensen,Karaj,Books,Machine Learning,3,80.0,240.0,2024-01-18,4497
Jeffrey White,Kermanshah,Electronics,Headphones,4,150.0,600.0,2024-01-18,1798
Thomas Walton DVM,Karaj,Electronics,Laptop,2,1200.0,2400.0,2024-01-18,9171
David Rodriguez,Mashhad,Books,Data Science Handbook,5,60.0,300.0,2024-01-18,5934
Thomas Mitchell,Rasht,Electronics,Laptop,3,1200.0,3600.0,2024-01-19,2364
Rachel Gilmore,Shiraz,Home Appliances,Washing Machine,5,1500.0,7500.0,2024-01-19,8600
Brittany Young,Qom,Books,Machine Learning,1,80.0,80.0,2024-01-19,2412
Christopher Lynch,Isfahan,Sports,Running Shoes,1,120.0,120.0,2024-01-19,4468
Victoria Baker,Shiraz,Home Appliances,Microwave,1,220.0,220.0,2024-01-19,8630
Sarah Mora,Tabriz,Books,Clean Code,4,55.0,220.0,2024-01-19,2185
Kayla Hardy,Rasht,Books,Clean Code,1,55.0,55.0,2024-01-19,3177
Evan Diaz,Mashhad,Home Appliances,Vacuum Cleaner,1,300.0,300.0,2024-01-19,1830
Timothy Tran,Tehran,Home Appliances,Air Conditioner,5,2000.0,10000.0,2024-01-19,1755
Shane Juarez,Tabriz,Books,Machine Learning,2,80.0,160.0,2024-01-19,5735
Rachel Moore,Isfahan,Sports,Basketball,2,35.0,70.0,2024-01-19,2785
Jamie Bryant,Ahvaz,Sports,Football,5,30.0,150.0,2024-01-19,4099
Sarah Riley,Qom,Electronics,Smart Watch,3,250.0,750.0,2024-01-20,2454
Elizabeth Sandoval,Kermanshah,Books,Machine Learning,5,80.0,400.0,2024-01-20,4199
Joseph Pace,Tehran,Electronics,Headphones,3,150.0,450.0,2024-01-20,9555
Tina Perez,Tehran,Electronics,Headphones,2,150.0,300.0,2024-01-20,7341
Chris Williams,Mashhad,Sports,Running Shoes,4,120.0,480.0,2024-01-20,1946
Victoria Brown,Tabriz,Electronics,Smartphone,3,800.0,2400.0,2024-01-20,7618
Barbara Olson,Ahvaz,Home Appliances,Air Conditioner,2,2000.0,4000.0,2024-01-20,9777
Aaron Guzman,Tabriz,Home Appliances,Air Conditioner,2,2000.0,4000.0,2024-01-20,281
Peggy Adams,Qom,Books,Clean Code,2,55.0,110.0,2024-01-20,6300
Laurie French,Qom,Home Appliances,Air Conditioner,4,2000.0,8000.0,2024-01-20,4957
Melanie Santos,Rasht,Books,Machine Learning,2,80.0,160.0,2024-01-20,6468
Brian Hughes,Isfahan,Home Appliances,Refrigerator,3,1800.0,5400.0,2024-01-20,306
Karen Lane,Tabriz,Home Appliances,Microwave,3,220.0,660.0,2024-01-20,6872
Dustin Hill,Isfahan,Sports,Running Shoes,3,120.0,360.0,2024-01-20,2135
William Garrett,Karaj,Sports,Running Shoes,5,120.0,600.0,2024-01-21,5262
Daniel Kim,Rasht,Electronics,Tablet,4,500.0,2000.0,2024-01-21,4358
Brendan Sullivan,Rasht,Electronics,Smartphone,5,800.0,4000.0,2024-01-21,6063
John Ward,Isfahan,Books,Machine Learning,5,80.0,400.0,2024-01-21,1212
Audrey Davis,Mashhad,Sports,Tennis Racket,3,180.0,540.0,2024-01-21,1350
Michele Koch,Mashhad,Home Appliances,Washing Machine,5,1500.0,7500.0,2024-01-21,4458
Sarah Garcia,Mashhad,Sports,Running Shoes,3,120.0,360.0,2024-01-21,9721
Jennifer Sullivan,Tabriz,Sports,Running Shoes,2,120.0,240.0,2024-01-21,2355
Amanda Savage,Tabriz,Books,Clean Code,5,55.0,275.0,2024-01-21,2964
Anthony Holland,Tabriz,Sports,Running Shoes,5,120.0,600.0,2024-01-21,6034
Deborah Bennett DDS,Qom,Electronics,Tablet,4,500.0,2000.0,2024-01-21,4953
Jonathan Williams,Mashhad,Sports,Running Shoes,1,120.0,120.0,2024-01-21,6579
Richard Medina,Shiraz,Home Appliances,Washing Machine,4,1500.0,6000.0,2024-01-22,9621
Anthony Johnson,Qom,Electronics,Smartphone,4,800.0,3200.0,2024-01-22,1836
Colleen Cook,Karaj,Books,Python Programming,1,45.0,45.0,2024-01-22,6031
Tammy Pollard,Shiraz,Home Appliances,Microwave,5,220.0,1100.0,2024-01-22,4978
Tammy Robinson,Isfahan,Books,Clean Code,3,55.0,165.0,2024-01-22,5296
Karen Nelson,Isfahan,Books,Machine Learning,2,80.0,160.0,2024-01-22,9634
David Rasmussen,Shiraz,Books,Python Programming,2,45.0,90.0,2024-01-22,7261
Richard Brown,Mashhad,Sports,Running Shoes,3,120.0,360.0,2024-01-22,3306
Debbie Hinton,Tabriz,Sports,Fitness Band,4,90.0,360.0,2024-01-22,6484
Steve West,Qom,Home Appliances,Washing Machine,4,1500.0,6000.0,2024-01-22,9616
Denise Shepherd,Tehran,Electronics,Tablet,5,500.0,2500.0,2024-01-22,737
Tammy Hernandez,Tehran,Sports,Basketball,4,35.0,140.0,2024-01-22,8010
Matthew Humphrey MD,Mashhad,Books,Data Science Handbook,1,60.0,60.0,2024-01-22,6709
Ellen Bates,Kermanshah,Books,Data Science Handbook,3,60.0,180.0,2024-01-22,9427
Zachary Montgomery,Karaj,Home Appliances,Air Conditioner,1,2000.0,2000.0,2024-01-22,6228
Laura Roach,Shiraz,Books,Machine Learning,3,80.0,240.0,2024-01-23,2437
